City,State,Employment,Employment per 1000 jobs,Location quotient,Hourly mean wage,Annual mean wage,Expected State Tax Bracket,Expected Federal Tax Bracket,Federal + State Tax for Bracket,Net Expected Profit,Net Expected Monthly Profit,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-Range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0.5 liter draught, in restaurants)","Imported Beer (0.33 liter bottle, in restaurants)","Cappuccino (regular, in restaurants)","Coke/Pepsi (0.33 liter bottle, in restaurants)","Water (0.33 liter bottle, in restaurants)","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),"Water (1.5 liter bottle, at the market)","Bottle of Wine (Mid-Range, at the market)","Domestic Beer (0.5 liter bottle, at the market)","Imported Beer (0.33 liter bottle, at the market)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, …)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",data_quality
Hoboken,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",$16.00,$90.00,$9.50,$6.00,$8.00,$3.75,$2.00,$1.59,$1.50,$3.00,$3.00,$3.00,$12.31,,,$7.71,$1.86,$2.60,$3.11,$1.72,$1.44,$1.44,$1.50,$10.50,$3.00,$2.25,$9.50,$2.12,$210.00,$5.00,$3.11,,$1.19,"$22,000.00","$20,831.50",$144.74,$0.12,$68.75,$40.00,,$13.50,"$2,400.00","$24,590.00",$47.50,$47.50,$62.48,$187.50,"$3,300.00","$2,250.00","$5,000.00","$3,850.00","$8,966.34",,"$5,000.00",5.43,0
Helena,Montana,90,0.19,0.18,$35.92,"$74,720.00",5.32,12.32,17.64,"$61,539 ","$5,128 ",$15.00,$60.00,$8.00,$4.00,$5.00,$4.50,$2.00,$1.37,$1.12,$4.41,$5.32,$3.00,$27.93,$9.70,$17.84,$4.44,$1.59,$3.85,$5.47,$3.67,$2.06,$1.96,$2.30,$13.00,,$5.00,$10.00,$3.00,$25.00,$5.00,$1.24,,$1.19,"$23,000.00","$21,000.00",$175.91,,$79.67,$58.33,$35.00,$12.00,$850.00,"$30,000.00",$61.00,$65.00,$106.67,$138.33,"$1,166.67","$1,133.33","$2,150.00","$2,083.33","$2,091.79","$2,368.06","$4,300.00",5.29,0
West New York,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",,,$11.00,,$8.00,$5.12,,$3.19,,,$15.43,,$7.04,,,$7.11,$2.97,$7.11,$7.72,$6.94,$7.72,$3.00,$3.98,$15.00,,,$11.00,$1.60,,$3.00,,$15.95,$1.19,"$23,000.00","$23,500.00",$150.00,,$45.00,$75.00,,$10.97,,"$12,000.00",$50.00,$50.00,$75.00,$49.95,"$2,500.00","$1,100.00",,,,,"$5,600.00",5.43,0
Oak Park,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$20.00,$60.00,$8.00,$5.00,$7.00,$4.00,$2.00,$2.00,$1.59,$2.20,$4.41,,$11.02,,$8.82,$4.41,$1.93,$3.86,$3.31,$1.10,$1.65,$1.00,$2.00,$13.00,,$6.00,$11.00,$4.00,$100.00,,,,,"$23,195.00","$19,600.00",$150.00,,$50.00,,,$12.00,,,$60.00,,$80.00,$60.00,,"$1,345.00",,,,,"$3,750.00",,0
Levittown,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",,,$7.50,,$4.62,$3.25,,$2.00,$2.49,$2.79,$4.19,,$11.02,,$11.02,$4.41,$1.96,$4.41,$5.42,$5.51,$2.76,$2.29,$3.00,$28.00,$4.29,$4.00,$11.00,$8.00,$204.00,,,,,,,$178.91,,$35.00,,,$18.00,,,$35.00,$25.00,$95.00,$110.00,,,,,,,,,0
Aliso Viejo,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",,,$8.00,$8.00,$7.00,$4.75,,$1.67,,,$3.31,,$11.02,,,$5.73,$3.97,$4.85,$4.19,$2.87,$3.75,$2.00,$3.00,$14.00,,$2.20,$5.90,,,$6.00,$0.62,,,"$36,000.00","$49,700.00",$120.00,,$70.00,,$35.00,$8.00,,,$55.00,$45.00,$90.00,$120.00,,"$2,900.00",,,,,,,0
Wheaton,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$15.00,$60.00,$9.50,$4.00,$7.25,$3.83,$1.99,$1.50,$0.73,$2.76,$2.18,$3.00,$9.35,$8.80,$9.79,$3.02,$1.10,$5.06,$4.38,$1.75,$0.93,$1.52,$2.00,$8.00,$3.57,$4.00,$10.00,,,,,,$1.04,"$23,000.00","$24,000.00",$89.25,,$91.33,,,$12.00,"$2,000.00","$7,125.00",$50.67,$17.50,$76.33,$101.67,"$1,250.00","$1,295.00","$2,400.00","$2,150.00",,,,5.43,0
North Bethesda,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$17.00,$75.00,$7.00,$6.00,$7.62,$4.44,$2.42,$1.78,$1.50,$3.85,$5.91,$2.55,$12.81,$9.85,$14.37,$4.98,$1.23,$4.27,$4.40,$1.96,$2.49,$1.49,$1.75,$12.00,$2.86,$1.60,$7.47,$3.50,,$3.50,$2.17,$22.00,$1.24,"$19,500.00","$20,331.25",$163.26,$0.10,$70.71,$63.33,,$15.00,"$1,150.00","$16,666.67",$40.00,$38.00,$79.00,$103.50,"$3,000.00","$2,000.00","$4,125.00","$3,350.00","$5,381.96","$2,690.98",,4.9,0
Cerritos,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$25.00,$75.00,$10.00,$5.00,$6.00,$4.88,$2.50,$1.75,,,$4.41,,$15.43,,,$7.55,$2.72,$4.41,$3.09,$8.82,$4.41,$2.00,$3.00,$10.00,,$1.90,$10.50,$5.00,,$7.50,$1.55,$30.00,$1.65,"$32,000.00","$30,000.00",$142.50,,$50.00,$40.00,$60.00,$10.00,$925.00,"$20,000.00",$48.00,$35.00,$71.67,$106.67,"$2,500.00","$2,200.00","$4,000.00","$3,500.00","$6,458.35","$5,381.96","$6,000.00",5,0
Bloomfield,New Mexico,330,0.4,0.37,$41.87,"$87,090.00",3.85,13.70,17.55,"$71,806 ","$5,984 ",,,$9.00,,$7.50,$4.33,,$1.67,,,$3.86,,$12.11,,$11.00,$3.31,$1.06,$2.20,$2.20,$2.18,$2.18,$1.39,$1.50,$10.00,$2.86,$3.00,$10.00,$3.50,,$2.50,$1.55,,$1.31,"$25,000.00","$20,000.00",$150.00,,$71.67,$60.00,$25.00,$13.00,,,$60.00,$47.00,$74.67,$107.50,"$1,637.50","$1,275.00","$3,500.00",,,,,,0
Covina,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$20.00,$55.00,$7.50,$4.00,$5.00,$3.00,$1.89,$1.00,,,$4.34,,$19.80,,,$5.51,$0.86,$4.37,$4.41,$2.93,$4.39,$1.69,$1.62,$13.00,,$2.00,$6.35,,,$2.19,$1.24,$32.00,,"$17,999.00","$20,555.00",$190.48,$0.07,$78.33,$25.00,,$11.00,,"$12,000.00",$42.46,$57.00,$80.19,$94.67,,,"$1,700.00","$1,200.00","$1,345.49",,"$4,620.00",,0
Hackensack,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",$19.00,$112.00,$7.79,$5.50,$7.50,$5.00,$2.25,$2.50,$0.63,,$4.96,,,$16.58,,,,,,,,,,$12.99,,,,$1.70,,$2.50,,,,,,,,$29.99,$29.99,,$13.95,,,,,,,"$1,529.00",$900.00,"$3,249.00","$2,475.00",,,,,0
Cleveland Heights,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$21.00,$40.00,$7.88,$4.00,$4.00,$5.00,$2.00,$1.75,,$3.31,$2.20,,,,,,,,,,,,,,,,$5.00,,,,,,$1.16,,,$123.32,,$75.00,,,,,,$20.00,,$75.00,$46.00,,$600.00,,"$1,100.00",,"$1,237.85",,,0
Bell Gardens,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",,,,,,,,,,,$2.20,,,,,$4.41,$2.20,$4.41,$4.41,$2.20,$2.20,$1.50,$2.00,$12.00,,$3.00,$12.00,$3.00,$200.00,,,,,,,$200.00,,$50.00,,$45.00,$15.00,,"$45,000.00",$30.00,$50.00,$90.00,$150.00,,,,,,,,,0
Woonsocket,Rhode Island,620,1.29,1.19,$56.52 ,"$117,570.00 ",3.62,16.11,19.73,"$94,373 ","$7,864 ",$18.00,$72.50,$10.00,$7.00,$8.00,$4.25,$2.65,$2.00,$1.01,$3.19,$4.41,$2.80,$8.46,$6.24,$9.92,$6.61,$1.51,$7.72,$7.72,$2.20,$3.15,$3.00,$2.08,$12.00,$1.61,$1.72,$10.50,,,$3.50,$2.17,$30.00,$1.28,"$18,000.00","$15,000.00",$70.00,$0.08,$57.80,$23.99,,$12.00,"$1,450.00","$9,800.00",$38.67,$27.00,$60.00,$56.25,,,,,,,,5.35,0
Wilkes-Barre,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",$15.00,$50.00,$7.00,$3.00,$4.50,$3.50,$1.58,$1.12,$0.92,$2.41,$5.51,$2.00,$10.74,$11.02,$16.53,$6.59,$1.96,$4.41,$6.61,$2.46,$3.97,$1.96,$2.33,$11.00,,$4.25,$7.86,$1.75,,$3.20,$1.94,$30.00,$1.26,"$19,000.00","$23,166.67",$185.51,$0.10,$88.83,,,$11.00,,"$8,004.00",$30.00,$41.33,$80.00,$200.00,,,,,,,"$4,166.67",4.45,0
Teaneck,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",$16.00,$90.00,$8.00,$6.00,$12.00,$4.33,$2.00,$2.17,$1.21,,$5.85,$3.29,$8.70,,,$5.33,$2.50,$4.43,$7.31,$2.00,$3.53,$2.00,$1.73,$11.00,,$4.00,$9.00,,,$5.25,$1.32,$27.50,,"$22,000.00","$20,831.50",$144.74,$0.12,$68.75,,,$7.00,"$2,400.00","$24,590.00",$15.00,$47.50,$62.48,$187.50,,,,,,,,5.43,0
Montclair,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$15.00,$65.00,$9.00,$5.00,$7.00,$4.33,$2.73,$2.25,$0.53,$3.30,$3.86,$3.49,$8.26,$24.23,,$4.40,$1.08,,$2.18,$1.30,$2.18,,$2.00,$18.00,,$1.65,,$1.60,,,,,$1.14,,,$400.00,,$70.66,,,$12.00,"$1,230.00",,$57.50,$37.50,$125.00,$150.00,"$1,200.00","$1,110.00","$3,200.00","$2,900.00","$4,348.62","$3,702.79",,,0
Annapolis,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$20.00,$40.00,$8.00,$5.00,$6.00,$4.39,$1.25,$1.38,$0.90,$3.30,$4.48,$1.99,$11.31,$13.21,$15.41,$3.77,$1.98,$4.57,$5.25,$2.86,$2.95,$2.00,$1.80,$15.00,$2.50,$3.17,$8.75,$3.29,$85.00,$3.50,$2.33,$37.50,$1.09,"$30,000.00","$24,333.33",$201.83,$0.10,$57.87,$70.00,,$12.00,"$1,400.00","$31,333.33",$42.50,$28.00,$79.14,$118.17,"$2,375.00","$1,733.33","$3,400.00","$2,400.00","$4,305.56","$4,305.56","$8,888.00",6.2,0
Waipahu,Hawaii,90,0.16,0.14,$49.74,"$103,470.00",7.26,15.04,22.30,"$80,396 ","$6,700 ",$14.75,$45.00,$10.00,$6.25,$9.00,$5.43,$2.33,$2.12,$1.59,$6.10,$7.15,$5.00,$14.70,$14.33,$17.09,$7.17,$3.38,$4.41,$7.12,$3.09,$4.62,$3.62,$2.38,$14.99,$1.79,$1.43,$11.00,,,$3.45,$2.21,$36.00,$1.36,"$24,938.00","$20,000.00",$282.08,$0.34,$54.67,,,$12.00,"$1,000.00","$18,000.00",$40.00,$40.00,$105.00,$125.00,,,,,,,,5.43,0
Culver City,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$8.00,$35.00,,$3.50,$4.50,$4.50,,,,$3.86,$7.72,$3.50,,$11.02,$14.33,,$1.96,,$5.51,,$3.95,$2.50,,$10.00,,,,,,,,,$1.31,,,$275.00,,$65.00,$100.00,,,,,,,,$150.00,$750.00,,"$1,500.00",,,,,,0
Frankfort,Kentucky,,,,,,,,,,,$12.00,$46.00,$7.25,$3.25,$4.00,$3.00,$2.25,$1.37,,$3.58,$3.86,$2.75,$13.60,$12.13,$20.94,$4.62,$1.48,$4.41,$4.34,$2.59,$2.18,$1.90,$0.99,$9.88,$2.14,$2.88,$5.13,$0.75,,,,,$1.22,,,$185.00,,$85.00,$25.00,,$7.25,$740.00,,$60.00,,$80.00,$90.00,$700.00,$587.50,"$1,000.00","$1,000.00","$1,614.59",$968.75,"$4,850.00",5.75,0
Fort Lee,New Jersey,3030,0.74,0.68,$62.49,"$129,980.00",4.69,16.87,21.56,"$101,956 ","$8,496 ",$25.00,$100.00,$10.00,$7.00,$10.00,$5.17,$2.50,$1.58,$1.45,,,,$19.84,,,$5.51,,$6.06,,,,,,$17.50,,$3.00,$14.00,$4.50,,,,,$1.06,,,$133.46,,$73.33,$30.00,$10.00,$13.50,"$1,200.00",,,,$60.00,,"$2,266.67","$1,647.50","$3,200.00","$2,800.00","$3,552.09",,"$3,150.00",5.5,0
Lake Worth,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$15.00,$38.00,$8.00,$8.50,$8.00,$4.53,$1.68,$1.46,$1.06,$2.20,$6.61,$1.20,$11.61,,$11.00,$4.17,$1.30,$2.60,$4.41,$2.33,$1.97,$1.67,$1.49,$12.00,$1.86,$4.17,$8.00,$2.00,$70.00,,,,$1.31,"$27,500.00","$24,000.00",$120.33,,$56.28,$15.00,,$12.00,,,$46.33,$51.25,$73.17,$113.00,"$1,725.00","$1,350.00","$2,200.00","$1,500.00","$2,651.51","$1,883.68",,5.09,0
East Meadow,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$300.00,,,,,$9.50,,,,,,,,,,,,,,,0
Mission Bend,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$12.00,$55.00,$6.50,$3.25,$5.99,$4.00,$2.08,$1.75,$0.83,$2.66,$3.95,$2.16,$7.67,$7.68,$13.06,$3.91,$1.55,$3.48,$2.69,$2.75,$2.67,$1.68,$2.00,$9.98,$1.96,$2.12,$6.39,,,$3.00,$1.71,$12.00,$1.10,"$26,449.00","$24,587.50",$186.83,$0.45,$73.91,$25.00,,$8.50,$846.32,"$10,000.00",$38.25,$31.67,$61.80,$107.50,$600.00,$725.00,"$1,200.00",$680.00,,"$1,345.49","$2,150.00",4.79,0
South Miami Heights,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$50.00,$25.00,$11.50,$10.00,$15.00,$6.00,$3.00,$1.50,$1.19,$2.76,$6.60,$3.00,$9.92,$44.09,$15.43,$8.80,$3.86,$12.11,$5.51,$7.72,$3.64,$1.50,$3.00,$17.00,,$1.50,$9.50,$2.00,$50.00,,,,$1.22,,,$90.00,,$72.50,,,$9.00,,,$52.50,$31.67,$97.50,$130.00,$875.00,$775.00,"$1,800.00","$2,000.00",,,"$2,800.00",,0
Aventura,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$18.50,$75.00,$9.00,$6.50,$7.50,$4.75,$2.50,$1.66,$1.16,$4.40,$6.67,$3.74,$13.21,$15.97,$14.53,$4.81,$1.59,$3.29,$5.77,$2.92,$3.14,$2.29,$2.16,$13.99,$2.73,$2.81,$10.00,$2.25,$52.00,,,$30.00,$1.62,"$30,500.00","$25,000.00",$201.69,$0.20,$75.00,$50.00,$0.00,$14.75,$950.00,"$9,250.00",$46.50,$68.00,$76.25,$100.00,"$2,700.00","$2,250.00","$3,633.33","$3,500.00","$6,440.41","$4,467.02","$4,500.00",5.92,1
West Hollywood,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$20.00,$82.50,$9.00,$9.50,$9.00,$5.03,$3.00,$2.90,$1.12,$3.30,$5.62,$3.75,$9.74,$27.56,$6.67,$4.38,$2.71,$3.71,$4.25,$4.33,$3.06,$1.82,$2.40,$15.00,$3.57,$3.50,$8.00,$6.00,$59.00,$4.38,$1.79,$32.00,$1.62,"$24,750.00","$21,554.75",$164.00,$0.10,$70.00,$29.00,,$16.74,$565.00,"$40,000.00",$58.75,$43.75,$89.00,$126.67,"$2,600.00","$2,200.00","$4,800.00","$3,900.00",,,,4.32,0
Kearns,Utah,"3,070",1.89,1.75,$42.62 ,"$88,660.00 ",4.91,13.84,18.75,"$72,036 ","$6,003 ",$15.00,$55.00,$7.50,$4.25,$6.00,$4.19,$2.17,$2.00,$1.04,$2.05,$4.41,$2.56,$8.82,$6.58,$12.94,$4.41,$3.31,$4.41,$2.20,$1.10,$2.20,$1.00,$1.00,$9.00,$2.14,$2.00,,,,$2.00,$3.11,,$1.10,"$30,000.00","$45,000.00",$166.03,$0.25,$56.25,,,$6.00,,,$32.50,$45.00,$70.00,$113.00,,,,,"$16,145.87",,,5.43,0
Watertown Town,Massachusetts,,,,,,,,,,,$13.50,$55.00,$6.25,$5.00,$6.00,$4.50,$2.00,$1.62,$0.76,$1.54,$3.86,$3.25,$10.38,$17.09,$9.46,$4.68,$1.21,$3.84,$4.22,$1.87,$2.55,$1.68,$1.75,$12.00,$4.46,$3.45,$9.75,$3.00,,$4.25,$1.55,$20.00,$1.12,"$26,000.00","$26,583.33",$155.00,$0.25,$68.33,,$0.00,$11.50,"$1,462.50","$5,800.00",$41.50,$37.17,$85.00,$92.00,$812.50,$625.00,"$1,350.00","$1,050.00",,,"$3,561.11",5.43,0
Temple City,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",,,,,,,,,$1.19,,$4.17,$3.49,,$6.59,,$5.49,$1.74,,$5.49,,,$3.00,,,,,$11.00,,,,,,$1.19,,,,,,$20.00,,,$855.00,,,,,,,,,,,$753.47,,3.9,0
Elmont,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",$20.00,$72.50,$10.00,$6.25,$6.50,$4.50,$4.00,$1.75,$1.32,$4.38,$5.14,$4.00,$12.49,$8.80,$16.52,$4.91,$2.03,$3.83,$4.82,$3.51,$3.40,$2.24,$1.77,$15.00,$1.21,$2.83,$10.00,,,$3.00,$2.02,$18.00,$1.63,"$22,500.00","$23,250.00",$128.31,$0.17,$57.85,,,$14.00,"$2,200.00","$20,833.33",$59.33,$45.00,$80.00,$99.00,,,"$5,150.00","$4,600.00",,,"$9,000.00",5.43,0
Westmont,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$24.00,$80.00,$9.50,$5.00,$7.50,$4.00,$2.50,$1.83,$1.32,$2.19,$6.61,$4.50,,,$11.02,$4.41,$2.62,,$5.48,,,$1.48,$1.00,$14.00,$2.86,$2.50,,,,,,,$0.98,"$25,000.00","$22,500.00",$103.24,,$90.00,$55.00,,$12.50,,,$47.33,$35.00,$83.33,$93.33,"$2,600.00","$2,100.00","$4,050.00","$3,433.33",,"$2,690.98",,5.43,0
Manhattan Beach,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$12.00,$68.00,$8.00,$7.00,$8.00,$6.00,$4.00,$2.50,,,,,,,,,$2.65,,,,,,,$14.00,$2.50,$3.00,$7.50,,$56.00,,,,,,"$26,000.00",$118.33,,$70.00,$80.00,$15.00,$13.00,"$1,800.00",,$34.50,$50.00,$88.33,$87.50,"$1,800.00","$1,300.00","$3,800.00","$3,500.00",,,,,0
Norristown,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",$15.00,$50.00,$8.25,$2.50,$4.50,$3.50,$1.50,$1.00,$0.89,$2.99,$2.20,$3.33,$6.06,$12.59,$7.25,$4.41,$1.01,$3.31,$3.90,$0.66,$1.21,$1.25,$1.60,$8.00,$2.40,$2.27,$6.75,$2.00,$50.00,$2.75,$2.31,$30.00,$0.95,"$28,000.00","$23,166.67",$149.11,$0.22,$68.00,$15.00,$15.00,$12.50,$906.25,"$15,125.00",$38.67,$30.87,$79.50,$87.38,$600.00,$550.00,"$1,200.00","$1,050.00","$2,018.23","$1,749.14","$2,000.00",5.3,0
Beverly Hills,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$25.00,$50.00,$9.00,$4.00,$5.00,$3.79,$3.00,$1.65,,,,,$7.72,,,,$1.74,,,,,$1.79,,,,,$7.95,,,,,,,,,$290.00,,$85.00,,,,,,$54.00,,,,,,,,,,,,0
Foster City,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$17.50,$55.00,$7.50,,,$4.95,,$2.25,$1.59,$5.51,$11.02,,$17.64,$11.02,$16.53,,$1.96,,,,,,$1.50,$15.00,,,,,,,,,$1.82,,"$25,000.00",$115.00,,$30.00,,,,"$2,000.00",,$55.00,$25.00,$100.00,,"$2,600.00","$2,850.00","$4,350.00","$4,350.00",,,"$8,000.00",,0
Chester,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",$15.00,$65.00,$7.50,$5.50,$5.50,$3.88,$1.92,$1.69,$2.38,$4.41,$6.17,$3.49,$12.49,$17.64,$17.64,$5.39,$1.52,$4.41,$4.40,$2.20,$3.06,$1.67,$2.00,$14.00,$4.29,$3.75,$8.00,,,$4.00,$2.49,$27.50,$1.24,"$20,000.00","$24,900.00",$134.60,$0.00,$86.33,,$30.00,$12.50,,"$9,550.00",$42.57,$33.00,$70.00,$85.00,"$2,000.00","$1,800.00","$2,400.00","$2,000.00","$1,991.32","$2,045.14",,5.43,0
Glendale Heights,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",,,$10.00,,$10.00,$5.00,,$3.00,,,$6.61,,$4.41,,,$6.61,,$6.61,$4.41,$6.61,$1.10,$1.00,$3.00,$20.00,,,$8.00,,,,,,,,,$200.00,,$50.00,,,$13.00,,,,,,,,,,,,,,,0
Mount Lebanon,Louisiana,580,0.31,0.29,$34.47,"$71,710.00",3.17,11.91,15.08,"$60,896 ","$5,075 ",$15.00,$60.00,$8.25,$4.75,$6.00,$4.79,$2.05,$1.57,$0.92,$2.94,$3.51,$2.00,$8.82,$13.22,$16.73,$4.23,$1.48,$4.13,$3.84,$3.17,$2.76,$1.00,$1.88,$8.99,$1.86,$2.54,$8.00,,,$3.00,$1.24,$15.00,$1.12,"$25,000.00","$26,901.67",$134.29,$0.33,$70.67,$25.00,,$12.00,$450.00,"$13,500.00",$35.00,$40.00,$86.29,$100.00,"$1,050.00",$950.00,"$2,100.00","$1,750.00",,,"$3,000.00",5.21,0
College Park,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$13.50,$60.00,$8.00,$6.00,$7.00,$4.33,$2.00,$1.46,$0.98,$3.52,$6.25,$3.86,$11.31,$10.13,$15.41,$5.49,$1.98,$3.82,$5.25,$2.86,$2.95,$2.33,$1.80,$15.00,$2.50,$2.70,$8.75,$2.00,,$3.50,$0.67,$15.00,$1.09,"$24,500.00","$19,875.00",$175.00,$0.25,$57.87,$59.99,$10.00,$15.00,"$1,199.00","$31,333.33",$51.66,$28.00,$79.14,$118.17,"$1,802.67","$1,800.00","$3,482.00","$3,900.00",,,,5.29,0
Juneau,Alaska,150,0.48,0.45,$49.90,"$103,810.00",0.00,15.07,15.07,"$88,166 ","$7,347 ",$11.50,$54.00,$9.00,$6.50,$6.00,$4.44,$2.10,$2.61,,,$7.54,$3.00,$13.04,$11.78,$8.82,$6.61,$2.26,$4.54,$6.60,$4.24,$4.39,$3.31,$3.02,$15.00,$3.21,$4.10,$14.00,$1.50,$40.00,$3.40,$1.62,$35.00,$1.40,"$28,000.00","$27,209.00",$158.47,$0.15,$101.00,$90.00,$15.63,$13.00,,"$6,000.00",$52.00,$90.00,$91.00,$125.00,"$1,480.00",,"$2,358.00","$2,091.00","$2,152.78","$2,152.78",,5.43,0
Uniondale,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",,,,,,,,,$0.92,$2.08,$2.38,$2.50,$7.91,$4.96,$9.92,$3.51,$2.40,$2.40,$5.40,$5.93,$1.10,$0.79,$0.99,$4.50,$2.14,$2.59,$3.50,$1.00,,$3.25,,,$0.90,,,$159.00,,$79.00,,,$16.00,,,$50.00,$69.00,$79.00,$119.00,"$1,800.00","$1,700.00",,,,,,5,0
